Time	A	B	C	D	E	F	G	H	I	J
11/15/1990	0.010446652	0.038878266	0.173970784	0.171932158	0.451195669	0.182065157	0.227662167	0.466101695	0.005605012	0.596341016
12/15/1990	0.012659795	0.034416826	0.144090305	0.136015963	0.451195669	0.182065157	0.227662167	0.211864407	0	0.578563348
1/15/1991	0.01708608	0.029318037	0.114873838	0.113734619	0.500431001	0.224899163	0.265474275	0.11299435	0	0.557789918
2/15/1991	0.017751571	0.030592734	0.084329349	0.084802128	0.500431001	0.224899163	0.265474275	0.259887006	0	0.527901913
3/15/1991	0.021558795	0.033142129	0.070053121	0.071167276	0.500431001	0.224899163	0.265474275	0.381355932	0.001978239	0.490358555
4/15/1991	0.016946792	0.052262588	0.080345286	0.083139342	0.500431001	0.224899163	0.265474275	0.573446328	0.042532146	0.447906557
5/15/1991	0.014161018	0.076481836	0.093957503	0.097106751	0.500431001	0.224899163	0.265474275	0.779661017	0.405209364	0.403836916
6/15/1991	0.012195499	0.120458891	0.092297477	0.09211839	0.500431001	0.224899163	0.265474275	0.875706215	0.549620837	0.356517898
7/15/1991	0.01388244	0.137029955	0.084329349	0.081809112	0.500431001	0.224899163	0.265474275	0.918079096	0.753709199	0.31093158
8/15/1991	0.016327731	0.145315488	0.09063745	0.093116063	0.500431001	0.224899163	0.265474275	0.901129944	0.627101879	0.257853231
9/15/1991	0.015089609	0.117272148	0.087649402	0.0857998	0.500431001	0.224899163	0.265474275	0.742937853	0.3115727	0.201779807
10/15/1991	0.015801529	0.071383047	0.081341301	0.081143997	0.500431001	0.224899163	0.265474275	0.579096045	0.022749753	0.147710129
11/15/1991	0.015569381	0.027405991	0.083665339	0.089125374	0.500431001	0.224899163	0.265474275	0.305084746	0	0.096560399
12/15/1991	0.017581329	0.027405991	0.073705179	0.081476555	0.500431001	0.224899163	0.265474275	0.251412429	0	0.05887516
1/15/1992	0.020568298	0.028680688	0.058432935	0.062520785	0.539921841	0.26936148	0.301669854	0.223163842	0	0.03389132
2/15/1992	0.021605225	0.029318037	0.054780876	0.053874293	0.539921841	0.26936148	0.301669854	0.305084746	0	0.026385088
3/15/1992	0.018293249	0.026768642	0.057104914	0.051546392	0.539921841	0.26936148	0.301669854	0.330508475	0	0.030802351
4/15/1992	0.01895874	0.034416826	0.0687251	0.067509145	0.539921841	0.26936148	0.301669854	0.468926554	0.002967359	0.045398176
5/15/1992	0.018834927	0.068196303	0.086321381	0.086464915	0.539921841	0.26936148	0.301669854	0.629943503	0.132212331	0.062897614
6/15/1992	0.014656266	0.112173359	0.096613546	0.094446292	0.539921841	0.26936148	0.301669854	0.759887006	0.252884932	0.075356092
7/15/1992	0.014207447	0.13957935	0.093957503	0.08713003	0.539921841	0.26936148	0.301669854	0.855932203	0.384108144	0.080308894
8/15/1992	0.013990776	0.151051625	0.090305445	0.079813768	0.539921841	0.26936148	0.301669854	0.810734463	0.304319156	0.07449209
9/15/1992	0.013665769	0.131931166	0.089641434	0.083804456	0.539921841	0.26936148	0.301669854	0.740112994	0.198153643	0.059010971
10/15/1992	0.016327731	0.091778203	0.086985392	0.083139342	0.539921841	0.26936148	0.301669854	0.553672316	0.016815035	0.039445469
11/15/1992	0.018169437	0.059910771	0.08499336	0.079148653	0.539921841	0.26936148	0.301669854	0.415254237	0	0.019942768
