id,name,latitude,longitude,capacity,landmark,online_date
157,Lake Shore Dr & Wellington Ave,41.93667,-87.636795,15,234,2013-08-01 05:00:00
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.62174,15,338,2013-08-01 05:00:00
176,Clark St & Elm St,41.903233,-87.631256,19,349,2013-08-01 05:00:00
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,62,2013-08-02 05:00:00
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,69,2013-08-02 05:00:00
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,193,2013-08-02 05:00:00
156,Clark St & Wellington Ave,41.936497,-87.64754,15,232,2013-08-02 05:00:00
124,Damen Ave & Cullerton St,41.85505,-87.67573,15,89,2013-08-03 05:00:00
128,Damen Ave & Chicago Ave,41.895767,-87.67722,15,132,2013-08-03 05:00:00
143,Sedgwick St & Webster Ave,41.92197,-87.63854,15,191,2013-08-03 05:00:00
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,217,2013-08-03 05:00:00
164,Franklin St & Lake St,41.885838,-87.6355,23,272,2013-08-03 05:00:00
165,Clark St & Waveland Ave,41.94893,-87.65775,19,275,2013-08-03 05:00:00
168,Michigan Ave & 14th St,41.86406,-87.623726,19,310,2013-08-03 05:00:00
175,Wells St & Polk St,41.87237,-87.63352,19,344,2013-08-03 05:00:00
184,State St & 35th St,41.83104,-87.62688,19,82,2013-08-03 05:00:00
35,Streeter Dr & Illinois St,41.89107,-87.6122,35,22,2013-08-05 05:00:00
138,Clybourn Ave & Division St,41.90451,-87.6405,15,171,2013-08-05 05:00:00
108,Halsted St & Polk St,41.87184,-87.64664,19,27,2013-08-06 05:00:00
109,900 W Harrison,41.8745,-87.6498,19,28,2013-08-06 05:00:00
120,Wentworth Ave & Archer Ave,41.854565,-87.631935,15,75,2013-08-06 05:00:00
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,298,2013-08-06 05:00:00
191,Canal St & Monroe St,41.8807,-87.63947,23,56,2013-08-07 05:00:00
192,Canal St & Adams St,41.87923,-87.640015,27,11,2013-08-07 05:00:00
194,State St & Wacker Dr,41.887154,-87.62775,11,339,2013-08-10 05:00:00
195,Columbus Dr & Randolph St,41.8853,-87.62077,23,263,2013-08-10 05:00:00
196,Cityfront Plaza & N Water St,41.889874,-87.621994,19,427,2013-08-10 05:00:00
197,Michigan Ave & Madison St,41.882133,-87.62512,19,36,2013-08-10 05:00:00
198,Halsted St & Madison St,41.88175,-87.6478,19,159,2013-08-10 05:00:00
199,Wabash Ave & Grand Ave,41.89174,-87.62694,15,4,2013-08-10 05:00:00
16,Wood St & North Ave,41.910328,-87.672516,15,223,2013-08-12 05:00:00
177,Theater on the Lake,41.926277,-87.63084,15,350,2013-08-13 05:00:00
200,King Dr & 47th St,41.809853,-87.61628,11,90,2013-08-14 05:00:00
201,Indiana Ave & 40th St,41.82168,-87.6216,15,83,2013-08-14 05:00:00
204,Prairie Ave & Garfield Blvd,41.7951,-87.61936,15,101,2013-08-14 05:00:00
206,Halsted St & Archer Ave,41.847202,-87.6468,15,98,2013-08-14 05:00:00
202,Halsted St & 18th St,41.8575,-87.64628,15,99,2013-08-15 05:00:00
203,Western Ave & 21st St,41.85394,-87.68524,15,91,2013-08-15 05:00:00
205,Paulina St & 18th St,41.857903,-87.66875,15,88,2013-08-15 05:00:00
207,Emerald Ave & 28th St,41.84358,-87.64537,15,399,2013-08-15 05:00:00
208,Ashland Ave & 21st St,41.85381,-87.66589,15,307,2013-08-15 05:00:00
209,Normal Ave & Archer Ave,41.849525,-87.640594,11,308,2013-08-15 05:00:00
211,St Clair St & Erie St,41.894447,-87.622665,19,16,2013-08-15 05:00:00
215,Damen Ave & Madison St,41.88137,-87.67493,15,134,2013-08-15 05:00:00
141,Clark St & Lincoln Ave,41.915688,-87.6346,19,179,2013-08-16 05:00:00
210,Ashland Ave & Division St,41.903458,-87.66777,19,61,2013-08-16 05:00:00
212,Wells St & Ohio St,41.89224,-87.63399,19,264,2013-08-16 05:00:00
213,Leavitt St & North Ave,41.910652,-87.6824,11,244,2013-08-16 05:00:00
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,141,2013-08-16 05:00:00
216,California Ave & Division St,41.90303,-87.69747,15,256,2013-08-16 05:00:00
217,May St & Fulton St,41.886772,-87.656,15,197,2013-08-16 05:00:00
220,Hampden Ct & Diversey Pkwy,41.93262,-87.64239,19,123,2013-08-19 05:00:00
225,Halsted St & Dickens Ave,41.919937,-87.64883,15,192,2013-08-19 05:00:00
226,Racine Ave & Belmont Ave,41.939743,-87.65887,15,230,2013-08-19 05:00:00
219,Damen Ave & Cortland Ave,41.916027,-87.677414,11,133,2013-08-20 05:00:00
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,235,2013-08-20 05:00:00
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,143,2013-08-20 05:00:00
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,78,2013-08-20 05:00:00
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,130,2013-08-20 05:00:00
232,Pine Grove Ave & Addison St,41.947838,-87.64542,15,273,2013-08-21 05:00:00
234,Clark St & Montrose Ave,41.96159,-87.66604,19,316,2013-08-21 05:00:00
236,Sedgwick St & Schiller St,41.907578,-87.63852,15,410,2013-08-21 05:00:00
237,Martin Luther King Dr & 29th St,41.842052,-87.617,15,214,2013-08-21 05:00:00
239,Western Ave & Leland Ave,41.966557,-87.688484,15,112,2013-08-21 05:00:00
240,Sheridan Rd & Irving Park Rd,41.95434,-87.6546,11,63,2013-08-21 05:00:00
222,Milwaukee Ave & Rockwell St,41.920197,-87.69303,19,242,2013-08-22 05:00:00
223,Clifton Ave & Armitage Ave,41.918217,-87.65694,15,185,2013-08-22 05:00:00
224,Halsted St & Willow St,41.913776,-87.64884,19,181,2013-08-22 05:00:00
238,Ravenswood Ave & Montrose Ave,41.961624,-87.6741,15,92,2013-08-22 05:00:00
241,Morgan St & Polk St,41.87174,-87.65103,15,168,2013-08-22 05:00:00
242,Damen Ave & Leland Ave,41.967094,-87.67903,15,93,2013-08-22 05:00:00
243,Lincoln Ave & Leavitt St,41.96239,-87.68414,15,126,2013-08-22 05:00:00
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,87,2013-08-22 05:00:00
193,State St & 29th St,41.841705,-87.62694,15,213,2013-08-23 05:00:00
218,Wells St & 19th St,41.856804,-87.63388,11,180,2013-08-23 05:00:00
247,Shore Drive & 55th St,41.79521,-87.58071,15,361,2013-08-23 05:00:00
248,Woodlawn Ave & 55th St,41.795265,-87.59647,15,362,2013-08-23 05:00:00
245,Clarendon Ave & Junior Ter,41.961002,-87.649605,15,389,2013-08-26 05:00:00
246,Ashland Ave & Belle Plaine Ave,41.956062,-87.66887,11,249,2013-08-26 05:00:00
249,Montrose Harbor,41.96398,-87.63818,15,388,2013-08-26 05:00:00
250,Ashland Ave & Wellington Ave,41.936085,-87.66981,19,269,2013-08-26 05:00:00
251,Clarendon Ave & Leland Ave,41.967968,-87.65,15,385,2013-08-26 05:00:00
148,State St & 33rd St,41.834736,-87.62582,11,216,2013-08-27 05:00:00
252,Greenwood Ave & 47th St,41.809834,-87.59938,15,396,2013-08-27 05:00:00
121,Blackstone Ave & Hyde Park Blvd,41.802563,-87.59037,15,398,2013-08-28 05:00:00
229,Southport Ave & Roscoe St,41.94374,-87.66402,19,71,2013-08-29 05:00:00
233,Sangamon St & Washington Blvd,41.883003,-87.651146,15,409,2013-08-29 05:00:00
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,59,2013-09-05 05:00:00
132,Wentworth Ave & 24th St,41.849236,-87.631714,15,149,2013-09-05 05:00:00
253,Clifton Ave & Lawrence Ave,41.968872,-87.65886,15,104,2013-09-05 05:00:00
255,Indiana Ave & Roosevelt Rd,41.86789,-87.62304,19,309,2013-09-05 05:00:00
256,Broadway & Sheridan Rd,41.95283,-87.649994,15,323,2013-09-05 05:00:00
261,Hermitage Ave & Polk St,41.871513,-87.66988,15,80,2013-09-05 05:00:00
254,Pine Grove Ave & Irving Park Rd,41.954384,-87.64804,15,324,2013-09-09 05:00:00
257,Lincoln Ave & Waveland Ave,41.94911,-87.67511,15,253,2013-09-09 05:00:00
258,Logan Blvd & Elston Ave,41.930584,-87.68513,19,145,2013-09-09 05:00:00
259,California Ave & Francis Pl,41.91855,-87.69723,15,259,2013-09-12 05:00:00
268,Lake Shore Dr & North Blvd,41.91172,-87.6268,15,328,2013-09-12 05:00:00
271,Cottage Grove Ave & 43rd St,41.816498,-87.60658,11,86,2013-09-12 05:00:00
272,Indiana Ave & 31st St,41.83884,-87.62186,11,219,2013-09-12 05:00:00
273,Michigan Ave & 18th St,41.857937,-87.623634,15,150,2013-09-12 05:00:00
274,Racine Ave & 15th St,41.861267,-87.656624,15,304,2013-09-12 05:00:00
275,Ashland Ave & 13th St,41.865234,-87.666504,15,354,2013-09-12 05:00:00
276,California Ave & North Ave,41.91044,-87.6972,11,258,2013-09-12 05:00:00
277,Ashland Ave & Grand Ave,41.89107,-87.66661,15,434,2013-09-12 05:00:00
278,Wallace Ave & 35th St,41.830627,-87.64129,15,417,2013-09-13 05:00:00
279,Halsted St & 35th St,41.83066,-87.64717,15,413,2013-09-13 05:00:00
280,Morgan St & 31st St,41.8378,-87.65114,11,97,2013-09-13 05:00:00
281,Western Ave & 24th St,41.84847,-87.68511,15,393,2013-09-13 05:00:00
282,Halsted St & Maxwell St,41.86458,-87.64693,15,161,2013-09-13 05:00:00
285,Wood St & Grand Ave,41.89113,-87.67203,15,432,2013-09-13 05:00:00
287,Franklin St & Arcade Pl,41.88113,-87.635185,23,57,2013-09-13 05:00:00
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,184,2013-09-13 05:00:00
283,LaSalle St & Jackson Blvd,41.87817,-87.63199,23,32,2013-09-14 05:00:00
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,340,2013-09-14 05:00:00
286,Franklin St & Quincy St,41.878723,-87.634796,15,7,2013-09-14 05:00:00
289,Wells St & Concord Ln,41.9122,-87.63467,19,182,2013-09-14 05:00:00
291,Wells St & Evergreen Ave,41.906723,-87.63483,19,302,2013-09-14 05:00:00
292,Southport Ave & Clark St,41.95708,-87.6642,11,317,2013-09-14 05:00:00
260,Kedzie Ave & Milwaukee Ave,41.929565,-87.707855,19,85,2013-09-17 05:00:00
263,Rhodes Ave & 32nd St,41.83621,-87.61353,11,215,2013-09-17 05:00:00
265,Cottage Grove Ave & Oakwood Blvd,41.822987,-87.6071,15,346,2013-09-17 05:00:00
267,Lake Park Ave & 47th St,41.809444,-87.59187,15,117,2013-09-17 05:00:00
264,Stetson Ave & South Water St,41.88686,-87.622696,19,48,2013-09-18 05:00:00
293,Broadway & Wilson Ave,41.965286,-87.658775,19,74,2013-09-18 05:00:00
294,Broadway & Berwyn Ave,41.97835,-87.65975,15,109,2013-09-18 05:00:00
295,Broadway & Argyle St,41.972973,-87.65964,15,108,2013-09-18 05:00:00
296,Broadway & Belmont Ave,41.940105,-87.645454,15,277,2013-09-18 05:00:00
297,Paulina St & Montrose Ave,41.961506,-87.67139,15,250,2013-09-18 05:00:00
299,Halsted St & Roscoe St,41.94366,-87.64892,15,127,2013-09-19 05:00:00
300,Broadway & Barry Ave,41.93774,-87.6441,15,137,2013-09-19 05:00:00
301,Clark St & Schiller St,41.907993,-87.6315,19,200,2013-09-19 05:00:00
303,Broadway & Cornelia Ave,41.94551,-87.64598,15,278,2013-09-19 05:00:00
304,Halsted St & Waveland Ave,41.949333,-87.649635,15,325,2013-09-19 05:00:00
302,Sheffield Ave & Wrightwood Ave,41.92871,-87.65383,19,211,2013-09-20 05:00:00
309,Leavitt St & Armitage Ave,41.917805,-87.682434,11,286,2013-09-20 05:00:00
310,Damen Ave & Charleston St,41.920082,-87.67786,11,288,2013-09-20 05:00:00
311,Lincoln Ave & Eastwood Ave,41.96583,-87.68651,15,237,2013-09-20 05:00:00
312,Clarendon Ave & Gordon Ter,41.95788,-87.64952,15,379,2013-09-20 05:00:00
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.63897,19,147,2013-09-20 05:00:00
305,Western Ave & Division St,41.902893,-87.68728,15,241,2013-09-21 05:00:00
315,Leavitt St & Hirsch St,41.906715,-87.68278,11,255,2013-09-21 05:00:00
317,Wood St & Taylor St,41.869156,-87.67104,15,285,2013-09-21 05:00:00
318,Southport Ave & Irving Park Rd,41.954178,-87.66436,15,321,2013-09-21 05:00:00
320,Loomis St & Lexington St,41.87219,-87.6615,15,332,2013-09-21 05:00:00
321,Wabash Ave & 8th St,41.871964,-87.62611,19,54,2013-09-21 05:00:00
322,Kimbark Ave & 53rd St,41.79957,-87.59475,15,397,2013-09-21 05:00:00
